cluster_name,n_papers,dominant_study_design,dominant_design_count,example_titles
"learning, machine, prediction, patients, mortality",47,Other,42,Improving mortality prediction in Acute Pancreatitis by machine learning and data augmentation | Predicting the level of anemia among Ethiopian pregnant women using homogeneous ensemble machine learning algorithm | Multi-Omic Admission-Based Prognostic Biomarkers Identified by Machine Learning Algorithms Predict Patient Recovery and 30-Day Survival in Trauma Patients
"clinical, using, language, natural, processing",40,Other,37,Identify diabetic retinopathy-related clinical concepts and their attributes using transformer-based natural language processing methods | PICO entity extraction for preclinical animal literature | Multi-domain clinical natural language processing with MedCAT: The Medical Concept Annotation Toolkit
"cancer, analysis, genes, learning, machine",39,Other,38,The pyroptosis-related gene signature predicts prognosis and indicates the immune microenvironment status of chronic lymphocytic leukemia | Niche deconvolution of the glioblastoma proteome reveals a distinct infiltrative phenotype within the proneural transcriptomic subgroup | Future of biomarker evaluation in the realm of artificial intelligence algorithms: application in improved therapeutic stratification of patients with breast and prostate cancer
"learning, deep, using, covid, 19",32,Other,32,Clinical Decision Support for Axillary Lymph Node Staging in Newly Diagnosed Breast Cancer Patients Based on (18)F-FDG PET/MRI and Machine Learning | A novel multimodal fusion framework for early diagnosis and accurate classification of COVID-19 patients using X-ray images and speech signal processing techniques | Deep learning for diagnosis and survival prediction in soft tissue sarcoma
"analysis, covid, 19, genes, based",31,Other,29,"Identifying Drug Targets of Oral Squamous Cell Carcinoma through a Systems Biology Method and Genome-Wide Microarray Data for Drug Discovery by Deep Learning and Drug Design Specifications | Translational Proteomic Approach for Cholangiocarcinoma Biomarker Discovery, Validation, and Multiplex Assay Development: A Pilot Study | DGHNE: network enhancement-based method in identifying disease-causing genes through a heterogeneous biomedical network"
"disease, using, alzheimer, network, deep",27,Other,26,Multimodal attention-based deep learning for Alzheimer's disease diagnosis | A Model of Normality Inspired Deep Learning Framework for Depression Relapse Prediction Using Audiovisual Data | Prediction of False-Positive Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Molecular Results in a High-Throughput Open-Platform System
"learning, machine, clinical, based, patients",25,Other,24,Machine Learning-Based Exploratory Clinical Decision Support for Newly Diagnosed Patients With Acute Myeloid Leukemia Treated With 7 + 3 Type Chemotherapy or Venetoclax/Azacitidine | Applications of machine learning in the chemical pathology laboratory | A simulation-based evaluation of machine learning models for clinical decision support: application and analysis using hospital readmission
"data, mining, based, healthcare, medicine",24,Other,22,"Predicting Substance Use Treatment Failure with Transfer Learning | Clinlabomics: leveraging clinical laboratory data by data mining strategies | Drug-food Interactions in the Era of Molecular Big Data, Machine Intelligence, and Personalized Health"
"based, image, diagnosis, images, learning",24,Other,21,"A Self-Supervised Learning Based Framework for Eyelid Malignant Melanoma Diagnosis in Whole Slide Images | Deep Learning for Diabetic Retinopathy Analysis: A Review, Research Challenges, and Future Directions | A novel deep learning approach for sickle cell anemia detection in human RBCs using an improved wrapper-based feature selection technique in microscopic blood smear images"
"radiotherapy, learning, planning, deep, cancer",23,Other,21,"Technical note: A method to synthesize magnetic resonance images in different patient rotation angles with deep learning for gantry-free radiotherapy | Online adaptive radiotherapy of anal cancer: Normal tissue sparing, target propagation methods, and first clinical experience | Streaking artifact reduction for CBCT-based synthetic CT generation in adaptive radiotherapy"
"artificial, ai, intelligence, based, clinical",23,Other,19,"Pragmatic AI-augmentation in mental healthcare: Key technologies, potential benefits, and real-world challenges and solutions for frontline clinicians | Leveraging law and ethics to promote safe and reliable AI/ML in healthcare | An Artificial Intelligence-Driven Digital Health Solution to Support Clinical Management of Patients With Long COVID-19: Protocol for a Prospective Multicenter Observational Study"
"data, big, healthcare, care, digital",21,Other,20,"High quality, safe healthcare = technology + people + systems thinking | Databases, big data and artificial intelligence: what healthcare professionals need to know about them | Digital health, big data and smart technologies for the care of patients with systemic autoimmune diseases: Where do we stand?"
"deep, learning, segmentation, risk, based",19,Other,18,Clinical evaluation of deep learning and atlas-based auto-segmentation for critical organs at risk in radiation therapy | Automated clinical decision support system with deep learning dose prediction and NTCP models to evaluate treatment complications in patients with esophageal cancer | A Pilot Study on Automatic Three-Dimensional Quantification of Barrett's Esophagus for Risk Stratification and Therapy Monitoring
"convolutional, neural, based, network, using",19,Other,16,High-Dimensional Analysis of Finger Motion and Screening of Cervical Myelopathy With a Noncontact Sensor: Diagnostic Case-Control Study | Automatic classification of medical image modality and anatomical location using convolutional neural network | Mucosal Biofilms Are an Endoscopic Feature of Irritable Bowel Syndrome and Ulcerative Colitis
"learning, deep, cardiac, intelligence, artificial",19,Other,18,Free-breathing Accelerated Cardiac MRI Using Deep Learning: Validation in Children and Young Adults | Artificial Intelligence Algorithm-Based MRI in Evaluating the Treatment Effect of Acute Cerebral Infarction | Intelligent Algorithm-Based Quantitative Electroencephalography in Evaluating Cerebral Small Vessel Disease Complicated by Cognitive Impairment
"clinical, knowledge, support, decision, based",14,Other,14,Decision Support Systems in HF based on Deep Learning Technologies | A systematic approach for developing a corpus of patient reported adverse drug events: A case study for SSRI and SNRI medications | Ada-WHIPS: explaining AdaBoost classification with applications in the health sciences
"based, heart, failure, recognition, fusion",13,Other,13,From evidence-based medicine to digital twin technology for predicting ventricular tachycardia in ischaemic cardiomyopathy | A Novel Tropical Geometry-Based Interpretable Machine Learning Method: Pilot Application to Delivery of Advanced Heart Failure Therapies | Non-additive effects of ACVR2A in preeclampsia in a Philippine population
"approach, vitro, fertilization, pharmacology, intelligence",13,Other,13,Metabolomic profiles predict individual multidisease outcomes | StackPR is a new computational approach for large-scale identification of progesterone receptor antagonists using the stacking strategy | Plasma Metabolomics Reveals Systemic Metabolic Alterations of Subclinical and Clinical Hypothyroidism
"segmentation, deep, learning, detection, brain",13,Other,12,3D brain glioma segmentation in MRI through integrating multiple densely connected 2D convolutional neural networks | Computer-Aided Diagnosis of Label-Free 3-D Optical Coherence Microscopy Images of Human Cervical Tissue | Optimizing Texture Retrieving Model for Multimodal MR Image-Based Support Vector Machine for Classifying Glioma
"learning, reconstruction, deep, mri, image",12,Other,10,"Detectability of Small Low-Attenuation Lesions With Deep Learning CT Image Reconstruction: A 24-Reader Phantom Study | Deep learning image reconstruction algorithm reduces image noise while alters radiomics features in dual-energy CT in comparison with conventional iterative reconstruction algorithms: a phantom study | Image texture, low contrast liver lesion detectability and impact on dose: Deep learning algorithm compared to partial model-based iterative reconstruction"
"radiomics, radiogenomics, review, lung, cancer",12,Other,11,Fused feature signatures to probe tumour radiogenomics relationships | Radiogenomics in personalized management of lung cancer patients: Where are we? | Radiogenomics for Precision Medicine With a Big Data Analytics Perspective
"network, cell, human, rna, remodeling",10,Other,10,Single-cell RNA-seq reveals fibroblast heterogeneity and increased mesenchymal fibroblasts in human fibrotic skin diseases | Reconstruction and Analysis of the Differentially Expressed IncRNA-miRNA-mRNA Network Based on Competitive Endogenous RNA in Hepatocellular Carcinoma | Identification of potential miRNA-mRNA regulatory network contributing to pathogenesis of HBV-related HCC
